apple,candle,dragon,fish,water
0.0,9,2,-180,4
0.0030864673837559223,31,14,-179,25
0.006172934767511845,53,26,-178,46
0.009259402151267767,75,38,-177,67
0.01234586953502369,97,50,-176,88
0.015432336918779611,119,62,-175,109
0.018518804302535535,141,74,-174,130
0.021605271686291457,163,86,-173,151
0.02469173907004738,185,98,-172,172
0.0277782064538033,207,110,-171,193
0.030864673837559222,229,122,-170,214
0.033951141221315144,251,134,-169,235
0.03703760860507107,273,146,-168,256
0.04012407598882699,295,158,-167,277
0.04321054337258291,317,170,-166,298
0.04629701075633883,339,182,-165,319
0.04938347814009476,361,194,-164,340
0.05246994552385068,383,206,-163,361
0.0555564129076066,405,218,-162,382
0.058642880291362526,427,230,-161,403
0.061729347675118444,449,242,-160,424
0.06481581505887436,471,254,-159,445
0.06790228244263029,493,266,-158,466
0.07098874982638621,515,278,-157,487
0.07407521721014214,537,290,-156,508
0.07716168459389806,559,302,-155,529
0.08024815197765398,581,314,-154,550
0.0833346193614099,603,326,-153,571
0.08642108674516583,625,338,-152,592
0.08950755412892175,647,350,-151,613
0.09259402151267766,669,362,-150,634
0.09568048889643359,691,374,-149,655
0.09876695628018951,713,386,-148,676
0.10185342366394544,735,398,-147,697
0.10493989104770136,757,410,-146,718
0.10802635843145728,779,422,-145,739
0.1111128258152132,801,434,-144,760
0.11419929319896913,823,446,-143,781
0.11728576058272505,845,458,-142,802
0.12037222796648096,867,470,-141,823
0.12345869535023689,889,482,-140,844
0.12654516273399283,911,494,-139,865
0.12963163011774873,933,506,-138,886
0.13271809750150465,955,518,-137,907
0.13580456488526058,977,530,-136,928
0.1388910322690165,999,542,-135,949
0.14197749965277243,1021,554,-134,970
0.14506396703652835,1043,566,-133,991
0.14815043442028428,1065,578,-132,1012
0.1512369018040402,1087,590,-131,1033
0.15432336918779613,1109,602,-130,1054
0.15740983657155203,1131,614,-129,1075
0.16049630395530795,1153,626,-128,1096
0.16358277133906388,1175,638,-127,1117
0.1666692387228198,1197,650,-126,1138
0.16975570610657573,1219,662,-125,1159
0.17284217349033165,1241,674,-124,1180
0.17592864087408758,1263,686,-123,1201
0.1790151082578435,1285,698,-122,1222
0.18210157564159943,1307,710,-121,1243
0.18518804302535533,1329,722,-120,1264
0.18827451040911125,1351,734,-119,1285
0.19136097779286718,1373,746,-118,1306
0.1944474451766231,1395,758,-117,1327
0.19753391256037903,1417,770,-116,1348
0.20062037994413495,1439,782,-115,1369
0.20370684732789088,1461,794,-114,1390
0.2067933147116468,1483,806,-113,1411
0.20987978209540273,1505,818,-112,1432
0.21296624947915863,1527,830,-111,1453
0.21605271686291455,1549,842,-110,1474
0.21913918424667048,1571,854,-109,1495
0.2222256516304264,1593,866,-108,1516
0.22531211901418233,1615,878,-107,1537
0.22839858639793825,1637,890,-106,1558
